ISO code,Country and areas,Note,Indicator,Measure,Estimate,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020 1
CHN,China,,Malnutrition,Numbers Affected ('000s),Point Estimate,17785.4,16938.4,15398.5,13578.2,11957.7,10804.5,9838.9,9105.3,8530.2,7983.1,7374.1,6835.5,6370.6,5942.5,5556.0,5307.4,5088.6,4768.4,4464.2,4184.6,3920.8
COL,Colombia,,Malnutrition,Numbers Affected ('000s),Point Estimate,760.6,734.6,715.4,696.4,674.4,646.8,619.7,588.1,557.0,530.2,510.2,490.8,477.6,468.8,461.9,455.3,450.5,445.4,440.8,433.6,425.4
COM,Comoros,,Malnutrition,Numbers Affected ('000s),Point Estimate,37.7,37.8,37.7,37.6,37.5,37.5,37.7,37.8,37.7,37.4,37.1,36.6,35.9,35.2,34.5,33.6,32.7,31.5,30.3,29.0,28.0
COG,Congo,,Malnutrition,Numbers Affected ('000s),Point Estimate,186.0,190.3,188.2,185.6,183.7,182.3,181.7,180.8,179.8,178.8,176.1,175.1,173.7,172.0,169.0,167.5,165.3,161.9,157.7,153.1,148.2
COK,Cook Islands,,Malnutrition,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CRI,Costa Rica,,Malnutrition,Numbers Affected ('000s),Point Estimate,30.3,29.1,27.7,26.2,24.8,23.9,23.2,23.1,23.3,23.5,23.8,24.5,25.1,25.6,26.3,26.9,27.6,28.3,29.0,29.5,30.1
HRV,Croatia,,Malnutrition,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CUB,Cuba,,Malnutrition,Numbers Affected ('000s),Point Estimate,53.7,54.8,53.8,52.7,51.2,49.2,46.6,45.6,44.3,43.3,43.3,43.2,43.3,44.1,44.8,45.0,45.3,44.5,42.9,41.3,40.0
CYP,Cyprus,,Malnutrition,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CZE,Czechia,,Malnutrition,Numbers Affected ('000s),Point Estimate,12.1,11.2,11.0,11.3,11.7,12.1,12.9,13.5,13.8,14.0,14.1,14.2,14.1,13.8,13.6,13.5,13.2,13.2,13.6,13.9,14.1
CIV,Côte d'Ivoire,,Malnutrition,Numbers Affected ('000s),Point Estimate,945.8,973.7,997.7,1019.8,1040.1,1058.9,1074.6,1079.7,1074.4,1062.2,1047.3,1037.6,1014.8,990.3,966.4,936.2,895.5,856.6,817.2,774.7,737.2
PRK,Democratic People's Republic of Korea,,Malnutrition,Numbers Affected ('000s),Point Estimate,1080.8,1018.8,947.5,890.7,834.6,770.8,711.6,648.8,587.2,534.3,493.3,455.5,430.0,412.6,398.0,383.3,373.4,360.5,345.4,330.3,317.8
COD,Democratic Republic of the Congo,,Malnutrition,Numbers Affected ('000s),Point Estimate,4143.8,4245.9,4354.0,4460.5,4562.1,4671.8,4798.5,4907.2,5019.6,5150.0,5285.2,5422.5,5547.6,5658.6,5761.8,5879.8,6041.1,6187.0,6297.4,6384.2,6453.5
DNK,Denmark,,Malnutrition,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DJI,Djibouti,,Malnutrition,Numbers Affected ('000s),Point Estimate,30.7,31.3,31.6,31.4,31.0,30.7,30.1,29.4,28.7,28.2,28.2,28.5,29.3,30.6,31.8,32.9,34.1,34.6,34.4,34.0,33.7
DMA,Dominica,,Malnutrition,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DOM,Dominican Republic,,Malnutrition,Numbers Affected ('000s),Point Estimate,106.7,101.4,97.2,94.1,91.5,89.2,87.5,86.3,85.4,84.4,82.8,81.4,79.7,78.1,76.5,74.6,71.9,69.4,66.2,62.8,59.4
ECU,Ecuador,,Malnutrition,Numbers Affected ('000s),Point Estimate,440.9,439.9,439.0,439.1,437.1,435.1,428.6,422.0,413.9,406.4,396.4,387.5,379.4,373.1,372.4,375.4,379.3,384.2,388.6,388.3,385.3
EGY,Egypt,,Malnutrition,Numbers Affected ('000s),Point Estimate,2301.9,2298.3,2272.3,2231.2,2202.9,2203.9,2215.7,2237.6,2259.8,2281.9,2308.7,2340.4,2410.3,2509.6,2618.5,2714.3,2841.9,2892.0,2883.6,2852.2,2829.6
SLV,El Salvador,,Malnutrition,Numbers Affected ('000s),Point Estimate,216.6,202.5,188.2,174.2,161.6,150.1,137.4,127.4,119.6,113.2,107.1,102.5,96.9,90.8,84.6,78.7,74.4,71.6,69.6,67.0,64.7
GNQ,Equatorial Guinea,,Malnutrition,Numbers Affected ('000s),Point Estimate,39.4,39.9,40.3,40.7,41.1,41.5,41.7,42.0,41.8,41.6,41.4,41.3,40.9,41.0,40.9,41.2,41.2,40.9,40.4,40.0,39.3
ERI,Eritrea,,Malnutrition,Numbers Affected ('000s),Point Estimate,154.3,152.5,158.5,170.1,183.3,196.2,216.6,232.8,245.4,254.4,260.2,266.8,267.1,263.3,257.7,253.8,243.2,240.1,241.2,243.1,243.0
EST,Estonia,,Malnutrition,Numbers Affected ('000s),Point Estimate,1.3,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.0,1.0,1.0,0.9,0.9,0.9,0.8,0.8,0.9,0.9
SWZ,Eswatini,,Malnutrition,Numbers Affected ('000s),Point Estimate,53.8,52.9,52.0,50.9,50.1,49.6,49.7,49.6,49.3,48.5,47.3,46.3,44.6,42.3,40.0,38.3,36.5,35.0,34.3,33.4,32.4
ETH,Ethiopia,,Malnutrition,Numbers Affected ('000s),Point Estimate,7102.3,7155.9,7132.5,7063.8,6968.0,6871.1,6747.8,6629.5,6525.6,6439.3,6370.5,6305.3,6267.6,6246.0,6227.8,6204.3,6197.5,6152.0,6089.8,6012.7,5935.5
FJI,Fiji,,Malnutrition,Numbers Affected ('000s),Point Estimate,5.8,5.9,6.0,6.1,6.4,6.9,7.3,7.6,7.8,7.9,7.6,7.9,7.9,7.8,7.7,7.5,7.1,6.9,6.8,6.7,6.7
FIN,Finland,,Malnutrition,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
FRA,France,,Malnutrition,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GAB,Gabon,,Malnutrition,Numbers Affected ('000s),Point Estimate,47.7,48.1,48.4,48.4,48.1,47.5,47.1,45.9,44.8,44.1,44.0,43.3,43.6,44.2,44.9,45.1,46.0,46.5,47.0,46.7,46.1
GMB,Gambia,,Malnutrition,Numbers Affected ('000s),Point Estimate,72.5,72.4,72.5,72.7,73.0,73.5,74.2,74.8,75.2,75.3,75.3,75.7,75.8,75.6,75.2,74.5,73.6,72.1,70.4,67.7,66.0
GEO,Georgia,,Malnutrition,Numbers Affected ('000s),Point Estimate,41.8,40.4,38.6,36.4,34.7,33.2,31.8,30.2,29.0,28.0,26.9,26.5,25.7,24.4,23.0,21.8,20.2,18.8,17.5,16.3,15.2
DEU,Germany,,Malnutrition,Numbers Affected ('000s),Point Estimate,60.5,58.6,56.9,54.8,53.0,51.6,50.0,49.1,48.7,48.7,48.9,49.2,49.6,50.2,51.2,52.8,55.0,57.5,60.2,62.6,64.4
GHA,Ghana,,Malnutrition,Numbers Affected ('000s),Point Estimate,1020.7,1020.9,1015.6,1006.4,995.0,985.3,970.2,953.1,933.4,913.6,889.7,863.2,832.9,802.2,772.1,746.6,721.7,692.0,658.8,624.7,590.4
GRC,Greece,,Malnutrition,Numbers Affected ('000s),Point Estimate,14.3,13.9,13.4,13.0,12.6,12.2,12.0,11.8,11.8,11.8,11.6,11.6,11.3,10.9,10.5,10.1,9.6,9.4,9.2,9.0,8.8
GRD,Grenada,,Malnutrition,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GTM,Guatemala,,Malnutrition,Numbers Affected ('000s),Point Estimate,1019.3,1028.9,1040.4,1052.0,1058.3,1055.4,1048.0,1029.5,1003.5,977.7,956.6,932.5,919.5,914.8,921.9,921.1,924.0,922.5,916.0,896.7,884.7
GIN,Guinea,,Malnutrition,Numbers Affected ('000s),Point Estimate,512.9,528.9,542.2,554.1,566.0,578.1,591.2,600.9,608.2,612.5,615.0,617.5,618.3,619.2,621.4,625.3,626.1,625.0,623.9,621.5,618.2
GNB,Guinea-Bissau,,Malnutrition,Numbers Affected ('000s),Point Estimate,70.5,70.6,70.9,70.9,71.2,72.0,73.2,74.3,75.6,76.7,77.7,78.7,79.6,80.2,81.2,82.3,83.6,84.9,85.6,85.7,85.3
GUY,Guyana,,Malnutrition,Numbers Affected ('000s),Point Estimate,14.4,14.1,14.1,14.2,14.2,14.2,13.9,13.4,12.9,12.3,11.7,11.1,10.5,10.0,9.5,9.0,8.6,8.1,7.6,7.1,6.6
HTI,Haiti,,Malnutrition,Numbers Affected ('000s),Point Estimate,373.6,367.0,360.2,353.5,347.7,342.5,338.1,333.2,328.3,322.4,316.6,310.4,303.3,295.8,290.0,283.0,278.0,273.4,268.8,262.6,257.4
VAT,Holy See,,Malnutrition,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HND,Honduras,,Malnutrition,Numbers Affected ('000s),Point Estimate,395.0,386.1,372.0,355.5,339.0,323.3,306.1,290.8,276.6,263.0,250.1,239.7,231.8,225.7,221.4,218.0,214.6,211.8,209.2,206.0,202.7
HUN,Hungary,,Malnutrition,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ISL,Iceland,,Malnutrition,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND,India,,Malnutrition,Numbers Affected ('000s),Point Estimate,63673.0,63656.8,63499.5,63207.6,62853.9,62467.6,62069.9,61423.8,60459.1,59006.5,57029.6,54859.9,52260.5,49507.7,46924.4,44643.9,42272.1,40470.6,38945.3,37528.5,36120.1
IDN,Indonesia,,Malnutrition,Numbers Affected ('000s),Point Estimate,8845.1,8747.5,8657.9,8595.3,8558.6,8517.1,8454.4,8406.4,8373.5,8325.4,8279.2,8139.4,8094.2,8077.2,8068.6,8024.6,8068.8,7992.9,7840.4,7668.0,7526.1
IRN,Iran (Islamic Republic of),,Malnutrition,Numbers Affected ('000s),Point Estimate,850.1,745.8,655.0,579.9,521.5,477.7,451.4,427.9,409.5,397.5,392.2,392.2,396.9,404.9,415.5,428.3,439.5,452.0,464.8,474.3,477.4
IRQ,Iraq,,Malnutrition,Numbers Affected ('000s),Point Estimate,1087.6,1103.1,1110.7,1123.1,1119.8,1111.6,1101.9,1088.7,1052.7,1018.0,991.8,952.7,917.2,895.9,880.2,851.5,823.9,782.4,726.8,670.0,625.3
IRL,Ireland,,Malnutrition,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ISR,Israel,,Malnutrition,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ITA,Italy,,Malnutrition,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
JAM,Jamaica,,Malnutrition,Numbers Affected ('000s),Point Estimate,21.5,20.1,18.8,17.8,16.8,16.0,15.3,14.8,14.5,14.5,14.7,15.2,15.8,16.4,17.0,17.7,18.4,18.9,19.2,19.4,19.6
JPN,Japan,,Malnutrition,Numbers Affected ('000s),Point Estimate,499.3,494.4,479.7,461.6,443.7,428.8,414.6,404.6,397.2,390.6,382.7,375.5,366.9,356.5,344.6,331.7,318.8,303.9,288.4,273.9,261.8
JOR,Jordan,,Malnutrition,Numbers Affected ('000s),Point Estimate,82.7,81.1,79.8,79.3,78.1,78.7,79.3,80.3,80.6,81.5,82.7,84.3,85.6,87.5,88.9,89.2,89.0,87.5,85.2,81.4,77.3
KAZ,Kazakhstan,,Malnutrition,Numbers Affected ('000s),Point Estimate,195.6,185.4,181.3,181.3,185.6,188.1,191.4,193.8,195.3,194.4,195.4,198.0,197.0,193.0,186.8,178.6,169.3,158.8,148.6,138.4,129.1
KEN,Kenya,,Malnutrition,Numbers Affected ('000s),Point Estimate,2152.0,2232.0,2270.5,2280.5,2282.4,2284.4,2269.9,2247.9,2219.2,2172.4,2105.6,2033.8,1951.0,1865.6,1785.0,1713.1,1639.0,1570.3,1500.8,1432.7,1369.9
KIR,Kiribati,,Malnutrition,Numbers Affected ('000s),Point Estimate,2.4,2.4,2.2,2.1,2.0,2.0,1.8,1.9,2.1,2.2,2.3,2.4,2.4,2.3,2.3,2.3,2.2,2.2,2.3,2.3,2.3
KWT,Kuwait,,Malnutrition,Numbers Affected ('000s),Point Estimate,9.5,9.5,9.4,9.0,8.8,8.9,8.9,9.4,10.4,11.5,12.4,13.6,14.4,15.0,15.5,15.9,16.5,17.0,17.3,17.3,17.3
KGZ,Kyrgyzstan,,Malnutrition,Numbers Affected ('000s),Point Estimate,160.8,149.6,138.4,127.5,118.1,111.7,108.6,106.5,105.6,106.0,107.4,108.7,109.7,109.5,107.9,105.0,103.2,99.4,95.1,90.5,86.7
LAO,Lao People's Democratic Republic,,Malnutrition,Numbers Affected ('000s),Point Estimate,396.0,383.8,374.9,368.9,364.2,360.0,356.5,353.3,349.8,345.0,338.7,333.9,324.1,311.0,297.3,285.3,273.0,263.2,255.4,248.1,240.6
LVA,Latvia,,Malnutrition,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LBN,Lebanon,,Malnutrition,Numbers Affected ('000s),Point Estimate,66.6,66.3,66.8,67.9,70.0,70.7,72.8,70.5,65.5,60.0,58.1,57.0,58.9,63.3,68.2,70.0,70.4,69.3,66.9,62.7,58.6
LSO,Lesotho,,Malnutrition,Numbers Affected ('000s),Point Estimate,113.6,113.1,112.6,112.0,111.2,110.2,109.8,107.8,104.8,101.8,99.1,96.1,92.7,89.0,86.1,83.9,84.1,83.4,83.1,82.1,81.4
LBR,Liberia,,Malnutrition,Numbers Affected ('000s),Point Estimate,218.4,225.2,227.5,227.9,226.5,228.2,230.9,233.5,235.6,238.3,239.1,239.2,237.6,234.6,235.1,231.0,227.0,222.5,218.1,210.2,207.4
LBY,Libya,,Malnutrition,Numbers Affected ('000s),Point Estimate,117.2,117.9,120.4,123.0,126.4,130.6,136.0,142.5,150.6,159.4,167.7,183.7,193.8,204.2,217.4,230.5,239.9,249.4,257.4,262.9,271.5
LIE,Liechtenstein,,Malnutrition,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LTU,Lithuania,,Malnutrition,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LUX,Luxembourg,,Malnutrition,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MDG,Madagascar,,Malnutrition,Numbers Affected ('000s),Point Estimate,1569.8,1598.7,1618.3,1627.1,1631.1,1634.9,1634.7,1639.1,1648.3,1661.9,1673.7,1684.9,1688.3,1685.3,1678.8,1676.4,1673.3,1670.9,1667.5,1660.3,1650.2
MWI,Malawi,,Malnutrition,Numbers Affected ('000s),Point Estimate,1122.3,1150.4,1169.7,1183.2,1194.5,1209.1,1224.6,1235.3,1240.6,1241.1,1232.7,1220.0,1195.7,1165.5,1136.4,1115.0,1097.8,1096.3,1091.2,1086.1,1081.7
MYS,Malaysia,,Malnutrition,Numbers Affected ('000s),Point Estimate,536.3,524.9,510.4,494.8,480.1,466.6,450.8,440.9,437.3,435.4,435.9,437.6,443.6,454.2,467.2,478.9,498.4,515.0,527.9,538.7,549.8
MDV,Maldives,,Malnutrition,Numbers Affected ('000s),Point Estimate,10.7,9.7,8.9,8.2,7.6,7.1,6.7,6.4,6.3,6.2,6.2,6.3,6.2,6.2,6.1,6.0,5.9,5.7,5.5,5.3,5.1
MLI,Mali,,Malnutrition,Numbers Affected ('000s),Point Estimate,826.6,842.4,855.9,868.0,880.5,893.6,910.7,922.7,930.8,937.0,942.3,951.9,956.2,957.1,954.3,951.0,946.6,940.5,935.5,928.2,925.0
MLT,Malta,,Malnutrition,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MHL,Marshall Islands,,Malnutrition,Numbers Affected ('000s),Point Estimate,2.8,2.9,3.0,3.0,3.0,3.0,3.1,3.1,3.1,3.1,3.0,2.9,2.8,2.7,2.7,2.6,2.5,2.4,2.3,2.2,2.2
MRT,Mauritania,,Malnutrition,Numbers Affected ('000s),Point Estimate,174.7,171.4,167.4,163.2,159.5,156.9,154.8,153.5,153.1,153.3,154.1,155.6,157.5,159.7,161.8,163.3,166.0,167.5,168.1,167.7,167.1
MUS,Mauritius,2,Malnutrition,Numbers Affected ('000s),Point Estimate,12.5,11.4,10.8,10.4,10.0,9.6,9.3,8.9,8.4,7.8,7.4,6.9,6.6,6.4,6.2,6.1,6.1,6.0,5.8,5.7,5.6
MEX,Mexico,,Malnutrition,Numbers Affected ('000s),Point Estimate,2326.8,2222.6,2127.2,2038.5,1952.1,1869.2,1797.2,1720.3,1641.9,1570.7,1509.8,1457.3,1423.7,1410.1,1403.5,1396.3,1395.5,1403.9,1379.3,1352.4,1328.3
FSM,Micronesia (Federated States of),,Malnutrition,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MCO,Monaco,,Malnutrition,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MNG,Mongolia,,Malnutrition,Numbers Affected ('000s),Point Estimate,68.7,65.5,61.8,57.8,54.3,51.7,49.4,47.6,46.0,44.6,43.1,41.8,40.8,39.6,38.2,36.7,35.3,32.9,30.8,28.7,26.6
MNE,Montenegro,,Malnutrition,Numbers Affected ('000s),Point Estimate,3.6,3.6,3.5,3.5,3.5,3.4,3.4,3.4,3.4,3.3,3.3,3.3,3.2,3.1,3.0,3.0,2.9,2.9,3.0,3.0,3.0
MSR,Montserrat,,Malnutrition,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
